,p_value,cohen_d
instruct_neutral,1.3034638304809784e-240,-1.3795006957010711
instruct_news_headline,7.625556547736489e-05,0.19015934908314946
instruct_no_caps,3.2615783299364623e-112,-0.8963573431307823
instruct_no_contractions,0.0,-3.29897183501847
instruct_no_punct,1.951036057874877e-130,-0.9714852066132786
instruct_no_spaces,0.09166704059995817,0.1334289446723446
instruct_nominalization,0.0,-2.474386398280585
instruct_numbered_list,0.0,-2.775281773845338
instruct_numbered_steps,0.0,-3.2955715675273667
instruct_one_typo_punctuation,1.4102381331169305e-168,-1.1261648391579857
instruct_output_csv,0.0,-3.1183213274266905
instruct_output_html,0.0,-2.9975239630240864
instruct_output_json,0.0,-3.2397587696345935
instruct_output_markdown,0.0,-2.7057145815745867
instruct_output_python,0.0,-3.214743387326868
instruct_output_sql,0.0,-3.254524471277507
instruct_output_yaml,0.0,-2.8599784139932725
instruct_oxford_comma,0.0,-3.137656404058098
instruct_paradox,0.0,-2.827234316114586
instruct_paradox_statement,0.0,-2.941479570796257
instruct_parenthetical_aside,0.0,-2.967298873286937
instruct_passive_voice,0.0,-2.6771502603721706
instruct_past_tense,0.0,-2.731972241525819
instruct_physics_jargon,6.7408411471984214e-43,-0.5328719418456703
instruct_plan_execute_reflect,0.0,-3.0471102424699064
instruct_playful,0.0,-3.156665698042884
instruct_poetic,0.0,-1.9933110274396715
instruct_polite_request,0.0,-2.1692396188702734
instruct_positive,0.0,-2.4171393512124397
instruct_profane,1.6668914191835425e-38,-0.5049443845476131
instruct_pseudo_cleft,0.0,-3.0626603554469938
instruct_pun,0.0,-3.0156176600412588
instruct_pun_based,0.0,-3.011980751034447
instruct_qa_script,0.0,-2.9905108421010658
instruct_random_caps,0.0,-3.1618497642208
instruct_random_linebreaks,1.0,-0.01432920792295819
instruct_random_linebreaks_and_typo_and_missing_bracket,1.0,0.07499882872761562
instruct_random_linebreaks_and_typo_and_missing_bracket_and_many_exclamations,0.0732122500381591,0.1353731097687593
instruct_random_linebreaks_and_typo_and_missing_bracket_and_wrong_punctuation,0.47290974969592864,0.11676693955938967
instruct_random_linebreaks_and_typo_and_missing_bracket_and_wrong_punctuation_and_extra_space,1.0,0.10578685294952389
instruct_random_linebreaks_and_typo_and_missing_random_characters,0.1148712193635316,0.13108944438185033
instruct_rap_verse,0.0,-3.062766816649046
instruct_react_tool_calls,0.0,-3.0525920132905093
instruct_recursive_self_reference,0.0,-3.2082515513415184
instruct_redundant_waffle,0.0,-3.4345491335841256
instruct_regex_pattern,1.0,-0.05554023121701566
instruct_reversed_text,5.598842404578352e-17,0.3355854240002117
instruct_rhetorical_question,0.0,-2.9165489936436875
instruct_risks_and_benefits,0.0,-3.235965202829252
instruct_role_expert_cot,0.0,-3.184638055021841
instruct_role_expert_cot_with_examples,0.0,-3.1459809562307406
instruct_role_expert_cot_with_examples_and_explanations,0.0,-3.1300849076922415
instruct_role_expert_cot_with_examples_and_explanations_and_summary,0.0,-3.065405469903547
instruct_role_expert_cot_with_examples_and_explanations_and_summary_and_risks,0.0,-3.013820863039568
instruct_roleplay_knight,0.0,-2.8883791774540355
instruct_roman_numeral,1.0,0.04942597635979483
instruct_rot13,8.368789096510883e-06,0.20519075938022735
instruct_rubric_scored,0.0,-3.3613258208470285
instruct_rude,3.1935621747475733e-205,-1.2508880306561458
instruct_salesy,0.0,-2.839528600042095
instruct_sarcastic,0.0,-3.153912547987043
instruct_sardonic,0.0,-2.87342935347514
instruct_scientific_notation,0.0,-1.9660476934927562
instruct_scots,8.951263936945821e-05,-0.18910670299181015
instruct_second_person,0.0,-3.0101221016460924
instruct_see_attached_diagram,0.0,-2.5709390924940654
instruct_self_consistency,0.0,-3.1145517264183185
instruct_self_deprecating,0.0,-3.30598250340381
instruct_sentence_fragment,0.0013804617768702996,0.16897117465804662
instruct_several_html_tags,0.0,-3.3638489582235933
instruct_shakespeare,0.0,-2.238721337703169
instruct_short_paragraph,0.0,-3.2922156204694932
instruct_sic_marker,0.0,-1.8121085980157534
instruct_silly,0.0,-2.674044522834482
instruct_single_sentence,0.0,-2.4572516335638546
instruct_singlish,1.0,-0.08402415905386515
instruct_skeptical,0.0,-3.093202198796609
instruct_slang_heavy,0.0,-1.9175161514549823
instruct_small_hex_blob,1.0,0.025766825888845844
instruct_sms,0.1105789492205197,0.13150122946313925
instruct_sms_abbrev,0.00028122105307011683,0.18110489610086303
instruct_socratic_dialogue,0.0,-3.2575073224536544
instruct_software_jargon,1.275590121680206e-128,-0.958932049964399
instruct_spanglish,9.37286663393206e-12,-0.2811248345093865
instruct_spanish,6.796021342010138e-64,-0.6596303520731408
instruct_spoiler_bars,0.0975643463694471,0.13265440239182988
instruct_sports_jargon,1.7734731505626236e-290,-1.5362238148992147
instruct_sql_snippet,8.793881567854085e-50,-0.5777191407723198
instruct_statement,0.0,-2.6269580725082986
instruct_step_rationale,0.0,-3.254691576938562
instruct_study_setup,0.0,-3.0780593751932037
instruct_suggestion,0.0,-2.7745596033973454
instruct_summary_then_detail,0.0,-3.181492663173565
instruct_surreal,0.0,-1.9702780195812288
instruct_table_layout,1.7097592092392742e-28,-0.43333916614411677
instruct_tag_question,0.0,-3.1879205327367917
instruct_tech_support_ticket,0.0,-2.43129059530269
instruct_technical,8.625225850694385e-42,-0.5263766069600462
instruct_therapy_session,0.0,-3.294252731392887
instruct_third_person,0.0,-2.5739069285051963
instruct_three_typos_punctuation,1.0,-0.026665385121749673
instruct_timestamped_chat,0.0,-3.279094020686729
instruct_topicalization,0.0,-2.295990484079974
instruct_tweet,0.0,-2.231477213071127
instruct_two_sentence,0.0,-2.9111850621522097
instruct_two_typos_punctuation,1.0,-0.07375390050289045
instruct_typo_adjacent,1.0,0.036820331087684934
instruct_typo_extra_letter,1.0,-0.038329677968821106
instruct_typo_extra_space,3.150720685100409e-168,-1.1209526818404958
instruct_typo_homophone,1.0,0.02963092224076657
instruct_typo_missing_letter,1.0,-0.024819303988323414
instruct_typo_missing_space,1.0,0.0741332520797897
instruct_typo_missing_vowels,1.0,0.07963759331750139
instruct_typo_random,1.0,0.058816853926241655
instruct_typo_repeated_letters,1.0,-0.10166282711436213
instruct_typo_swap,0.05703960675468692,-0.1378624610775195
instruct_typo_swap_and_punctuation,1.0,0.02616781995115698
instruct_typo_swap_and_transpose_and_punctuation,0.0036068299733061095,0.16163357159028025
instruct_typo_transpose,1.0,0.018678481108121387
instruct_typo_wrong_letter,1.0,0.034299875987443114
instruct_urgent,0.0,-1.835615023188417
instruct_validator_pass,0.0,-3.1383043758039317
instruct_very_formal,5.56404472307045e-33,-0.4662071851961202
instruct_vulgar,2.1556734677724002e-125,-0.94906974089666
instruct_warm,0.0,-3.2929003651837627
instruct_wh_question,0.0,-2.5524877588710146
instruct_with_additional_context,0.0,-3.2725364759648334
instruct_with_analogies,0.0,-3.266295084764669
instruct_with_case_studies,0.0,-3.151314331099246
instruct_with_citations,0.0,-3.225970521413326
instruct_with_counterarguments,0.0,-3.2229108464665606
instruct_with_detailed_instructions,0.0,-3.3677434074723998
instruct_with_emotional_appeal,0.0,-3.177052866516156
instruct_with_examples,0.0,-3.3560225847303498
instruct_with_examples_and_explanations,0.0,-3.341230427350058
instruct_with_helpful_explanations,0.0,-3.3077995287721143
instruct_with_metaphors,0.0,-3.065685698281557
instruct_with_personal_touch,0.0,-3.3146405810768145
instruct_with_rebuttals,0.0,-3.1905062389507037
instruct_with_research_paper,0.0,-3.246182251592512
instruct_with_similes,0.0,-3.191936556979471
instruct_with_statistics,0.0,-3.1782427664899564
instruct_with_step_by_step,0.0,-3.3744585270390837
instruct_with_stream_of_consciousness,0.0,-3.4514161257738203
instruct_with_summary,0.0,-3.1273016728328398
instruct_with_technical_details,0.0,-3.1899600669244528
instruct_with_tldr_summary,9.048211138821407e-84,-0.7620460796030855
instruct_witty,0.0,-2.5542749373900633
instruct_yaml_block,1.2403132743971123e-52,-0.5939642035135648
instruct_yes_no,0.0,-2.6041624907649443
