dataset,paraphrase_type,count,mean,std,min,25%,50%,75%,max
alpaca,instruct_inline_ad,499.0,7.108216432865731,2.6677293236435013,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_inline_url,499.0,7.2625250501002006,2.4554705821886205,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_insulting,499.0,6.885771543086173,3.126030425442945,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_interrobang,499.0,7.777555110220441,2.3156134168843376,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_inversion,499.0,7.12625250501002,2.9943206255179735,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_ironic,499.0,6.891783567134269,3.1705713548373207,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_jargon,499.0,6.701402805611222,3.277803229622033,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_joke,499.0,6.849699398797595,3.2362552901512216,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_journalist_interview,499.0,7.891783567134269,2.6290607575936655,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_json_format,499.0,6.248496993987976,3.706931088903935,0.0,2.5,8.0,10.0,10.0
alpaca,instruct_key_smash,499.0,7.511022044088176,2.474240534468031,0.0,6.0,8.0,9.5,10.0
alpaca,instruct_leet_speak,499.0,4.294589178356714,4.009450530407661,0.0,0.0,4.0,8.0,10.0
alpaca,instruct_legal_jargon,499.0,7.330661322645291,2.7668581059826,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_legalease,499.0,6.8276553106212425,3.2792331716734733,0.0,5.0,8.0,9.5,10.0
alpaca,instruct_legalese,499.0,7.056112224448897,2.986054890767006,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_lighthearted,499.0,7.917835671342686,2.6765496815567364,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_litotes,499.0,7.254509018036072,3.0288695767680593,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_lyrical,499.0,5.707414829659319,3.780971848976335,0.0,2.0,7.0,9.0,10.0
alpaca,instruct_malapropism,499.0,6.81563126252505,3.6063971709342693,0.0,4.0,9.0,10.0,10.0
alpaca,instruct_markdown_bold,499.0,8.172344689378757,2.2977107328544104,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_markdown_bold_and_italic,499.0,8.120240480961924,2.395102755860192,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_markdown_doc,499.0,7.697394789579159,2.623383653533622,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_markdown_italic,499.0,8.196392785571142,2.333083825019221,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_markdown_quote,499.0,7.885771543086173,2.3730790066491716,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_marketing,499.0,6.751503006012024,3.317589236003512,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_marketing_speak,499.0,7.020040080160321,3.0961174025346496,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_medical_jargon,499.0,6.537074148296593,3.3032976490084582,0.0,4.0,8.0,9.0,10.0
alpaca,instruct_melancholy,499.0,7.1783567134268536,3.106905850014357,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_memo,499.0,6.705410821643286,3.189369702300902,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_meta_question,499.0,7.68937875751503,3.0289280339700277,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_might_be_wrong,499.0,7.861723446893787,2.8935112692943634,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_minimalist,499.0,6.364729458917836,3.3514425469543787,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_misplaced_commas,499.0,7.857715430861724,2.289708858744626,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_missing_bracket,499.0,7.547094188376754,2.5849593094810963,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_missing_bracket_and_quote,499.0,7.372745490981964,2.7259976025431483,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_missing_quote,499.0,7.671342685370742,2.5554494100943987,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_modal_may,499.0,7.823647294589178,2.577505784303922,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_modal_must,499.0,7.891783567134269,2.5452358490638822,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_modal_should,499.0,7.755511022044089,2.694696689867021,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_multi_paragraph,499.0,6.452905811623246,2.926009689656229,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_musical_notation,499.0,7.342685370741483,3.0433286051958346,0.0,6.0,9.0,10.0,10.0
alpaca,instruct_negated,499.0,7.661322645290581,2.806963346218878,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_nested_parentheticals,499.0,6.322645290581162,2.675582775619103,0.0,5.0,7.0,8.5,10.0
alpaca,instruct_nested_question,499.0,7.04809619238477,3.086713882616606,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_neutral,499.0,7.80561122244489,2.485356425828686,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_news_headline,499.0,6.272545090180361,3.540055891980283,0.0,3.0,7.0,9.0,10.0
alpaca,instruct_no_caps,499.0,7.857715430861724,2.375788939177138,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_no_contractions,499.0,7.270541082164328,2.8806503595179325,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_no_punct,499.0,7.845691382765531,2.4367988071756153,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_no_spaces,499.0,7.61122244488978,2.6746531338029387,0.0,7.0,9.0,9.0,10.0
alpaca,instruct_nominalization,499.0,7.434869739478958,2.7289292317820246,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_numbered_list,499.0,7.094188376753507,2.526396049828198,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_numbered_steps,499.0,6.715430861723447,2.751265200876074,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_one_typo_punctuation,499.0,7.881763527054108,2.3430766373952037,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_output_csv,499.0,6.328657314629258,3.1104501283262564,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_output_html,499.0,6.993987975951904,2.766328654508486,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_output_json,499.0,7.69939879759519,2.5659610800508843,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_output_markdown,499.0,7.947895791583166,2.383277286355273,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_output_yaml,499.0,7.35871743486974,2.714970241450998,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_oxford_comma,499.0,7.739478957915832,2.378000013734103,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_paradox,499.0,7.37875751503006,2.998465079109844,0.0,6.5,9.0,10.0,10.0
alpaca,instruct_paradox_statement,499.0,7.246492985971944,3.173902543379425,0.0,6.0,9.0,10.0,10.0
alpaca,instruct_parenthetical_aside,499.0,7.797595190380761,2.333859857789262,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_passive_voice,499.0,7.472945891783567,2.6947758360025733,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_past_tense,499.0,7.306613226452906,2.8070794668548955,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_physics_jargon,499.0,6.420841683366733,3.2812058362659537,0.0,4.0,8.0,9.0,10.0
alpaca,instruct_plan_execute_reflect,499.0,5.987975951903808,2.8362002465936635,0.0,4.0,6.0,9.0,10.0
alpaca,instruct_playful,499.0,7.394789579158316,3.0501913999151085,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_poetic,499.0,5.25250501002004,3.9112094003477265,0.0,1.0,6.0,9.0,10.0
alpaca,instruct_polite_request,499.0,7.458917835671342,2.6774035163981185,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_positive,499.0,7.8997995991983965,2.578482937106164,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_profane,499.0,7.04809619238477,3.1061687849904303,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_pseudo_cleft,499.0,7.855711422845691,2.2555648374261184,0.0,7.0,9.0,9.0,10.0
alpaca,instruct_pun,499.0,7.008016032064128,3.189455498553397,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_pun_based,499.0,7.238476953907815,3.1573911637320444,0.0,6.0,9.0,10.0,10.0
alpaca,instruct_qa_script,499.0,7.470941883767535,2.994750647448101,0.0,6.0,9.0,10.0,10.0
alpaca,instruct_random_caps,499.0,6.400801603206413,3.0345532475748223,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_random_linebreaks,499.0,7.753507014028056,2.4758599020277336,0.0,7.0,9.0,9.0,10.0
alpaca,instruct_random_linebreaks_and_typo_and_missing_bracket,499.0,7.719438877755511,2.6475424092934894,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_random_linebreaks_and_typo_and_missing_bracket_and_many_exclamations,499.0,7.623246492985972,2.7032519241135518,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_random_linebreaks_and_typo_and_missing_bracket_and_wrong_punctuation,499.0,7.649298597194389,2.72118981422432,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_random_linebreaks_and_typo_and_missing_bracket_and_wrong_punctuation_and_extra_space,499.0,7.695390781563126,2.7234292841670453,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_random_linebreaks_and_typo_and_missing_random_characters,499.0,7.5490981963927855,2.7723343121872723,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_rap_verse,499.0,6.352705410821644,3.498687030751303,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_react_tool_calls,499.0,6.537074148296593,2.8588143582002017,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_recursive_self_reference,499.0,6.74749498997996,2.768941473743172,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_redundant_waffle,499.0,6.35871743486974,3.032881904874023,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_regex_pattern,499.0,5.090180360721443,3.9257521428489857,0.0,1.0,6.0,9.0,10.0
alpaca,instruct_rhetorical_question,499.0,7.006012024048096,3.1530510384801502,0.0,5.5,8.0,10.0,10.0
alpaca,instruct_risks_and_benefits,499.0,6.008016032064128,2.818458925477165,0.0,4.0,6.0,8.0,10.0
alpaca,instruct_role_expert_cot,499.0,6.292585170340681,2.4532916029319844,0.0,5.0,6.0,8.0,10.0
alpaca,instruct_role_expert_cot_with_examples,499.0,5.945891783567134,2.2492922037797944,0.0,5.0,6.0,7.0,10.0
alpaca,instruct_role_expert_cot_with_examples_and_explanations,499.0,5.7695390781563125,2.2639558237437862,0.0,4.0,6.0,7.0,10.0
alpaca,instruct_role_expert_cot_with_examples_and_explanations_and_summary,499.0,5.56312625250501,2.1726492272686793,0.0,4.0,6.0,7.0,10.0
alpaca,instruct_role_expert_cot_with_examples_and_explanations_and_summary_and_risks,499.0,4.915831663326653,2.2254754150543845,0.0,3.0,5.0,6.0,10.0
alpaca,instruct_roleplay_knight,499.0,7.382765531062124,3.092253497679307,0.0,6.0,9.0,10.0,10.0
alpaca,instruct_roman_numeral,499.0,6.509018036072145,3.3427706021907686,0.0,4.5,8.0,9.0,10.0
alpaca,instruct_rubric_scored,499.0,6.589178356713427,2.927772280824786,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_rude,499.0,7.501002004008016,2.9881793556347582,0.0,6.0,9.0,10.0,10.0
alpaca,instruct_salesy,499.0,6.490981963927855,3.519512282191003,0.0,4.0,8.0,9.0,10.0
alpaca,instruct_sarcastic,499.0,6.68937875751503,3.3313810670780373,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_sardonic,499.0,7.078156312625251,3.033928591514452,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_scientific_notation,499.0,6.086172344689379,3.424250449796047,0.0,3.0,7.0,9.0,10.0
alpaca,instruct_scots,499.0,7.092184368737475,2.9383762963774065,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_second_person,499.0,7.785571142284569,2.4601466441029203,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_see_attached_diagram,499.0,7.374749498997996,3.204202136680139,0.0,5.5,9.0,10.0,10.0
alpaca,instruct_self_consistency,499.0,6.374749498997996,2.846445625366383,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_self_deprecating,499.0,7.196392785571143,3.104845774456551,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_sentence_fragment,499.0,5.937875751503006,3.2607788966202174,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_several_html_tags,499.0,7.807615230460922,2.659955559508983,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_shakespeare,499.0,6.825651302605211,3.175531345137236,0.0,5.0,8.0,9.0,10.0
